757 (0.41)  #SUP: 0.41
255 (0.93)  #SUP: 0.93
82 (0.31)  #SUP: 733.5199999999995
653 (0.33)  #SUP: 0.33
296 (0.61)  #SUP: 0.61
715 (0.42)  #SUP: 0.42
85 (0.6)  #SUP: 567.0099999999996
121 (0.0)  #SUP: 236.47999999999982
406 (0.94)  #SUP: 0.94
409 (0.97)  #SUP: 0.97
385 (0.13)  #SUP: 0.13
73 (0.11)  #SUP: 982.2700000000012
574 (0.32)  #SUP: 0.32
151 (0.5)  #SUP: 0.5
333 (0.17)  #SUP: 0.17
12 (0.79)  #SUP: 1367.3400000000015
799 (0.63)  #SUP: 0.63
265 (0.53)  #SUP: 0.53
566 (0.21)  #SUP: 0.21
831 (0.35)  #SUP: 0.35
339 (0.67)  #SUP: 0.67
851 (0.38)  #SUP: 0.38
313 (0.91)  #SUP: 0.91
846 (0.17)  #SUP: 0.17
529 (0.82)  #SUP: 0.82
484 (0.6)  #SUP: 0.6
140 (0.52)  #SUP: 0.52
166 (0.7)  #SUP: 0.7
746 (0.33)  #SUP: 0.33
810 (0.83)  #SUP: 0.83
813 (0.88)  #SUP: 0.88
405 (0.17)  #SUP: 0.17
558 (0.31)  #SUP: 0.31
779 (0.74)  #SUP: 0.74
120 (0.68)  #SUP: 1340.0800000000002
180 (0.96)  #SUP: 0.96
688 (0.33)  #SUP: 0.33
68 (0.32)  #SUP: 562.0499999999996
781 (0.23)  #SUP: 0.23
116 (0.39)  #SUP: 664.8500000000006
672 (0.99)  #SUP: 0.99
102 (0.5)  #SUP: 384.0100000000002
443 (0.23)  #SUP: 0.23
361 (0.25)  #SUP: 0.25
269 (0.62)  #SUP: 0.62
14 (0.85)  #SUP: 54.01
649 (0.66)  #SUP: 0.66
384 (0.27)  #SUP: 0.27
147 (0.23)  #SUP: 0.23
44 (0.4)  #SUP: 334.24999999999983
736 (0.25)  #SUP: 0.25
104 (0.59)  #SUP: 600.149999999999
444 (0.38)  #SUP: 0.38
591 (0.92)  #SUP: 0.92
878 (0.81)  #SUP: 0.81
395 (0.85)  #SUP: 0.85
50 (0.83)  #SUP: 22.62
314 (0.77)  #SUP: 0.77
155 (0.98)  #SUP: 0.98
464 (0.71)  #SUP: 0.71
254 (0.13)  #SUP: 0.13
439 (0.47)  #SUP: 0.47
10 (0.45)  #SUP: 356.1000000000001
934 (0.58)  #SUP: 0.58
972 (0.72)  #SUP: 0.72
77 (0.07)  #SUP: 247.37000000000015
777 (0.94)  #SUP: 0.94
144 (0.49)  #SUP: 0.49
598 (0.86)  #SUP: 0.86
397 (0.53)  #SUP: 0.53
164 (0.71)  #SUP: 0.71
344 (0.82)  #SUP: 0.82
427 (0.47)  #SUP: 0.47
455 (0.33)  #SUP: 0.33
136 (0.12)  #SUP: 0.12
577 (0.46)  #SUP: 0.46
20 (0.72)  #SUP: 14.920000000000003
745 (0.41)  #SUP: 0.41
637 (0.68)  #SUP: 0.68
679 (0.31)  #SUP: 0.31
734 (0.76)  #SUP: 0.76
911 (0.19)  #SUP: 0.19
981 (0.12)  #SUP: 0.12
320 (0.37)  #SUP: 0.37
628 (0.9)  #SUP: 0.9
8 (0.96)  #SUP: 1418.9800000000034
571 (0.29)  #SUP: 0.29
69 (0.08)  #SUP: 909.690000000002
230 (0.82)  #SUP: 0.82
347 (0.3)  #SUP: 0.3
356 (0.65)  #SUP: 0.65
521 (0.13)  #SUP: 0.13
91 (0.0)  #SUP: 75.95000000000002
334 (0.74)  #SUP: 0.74
408 (0.59)  #SUP: 0.59
857 (0.67)  #SUP: 0.67
220 (0.82)  #SUP: 0.82
919 (0.8)  #SUP: 0.8
838 (0.48)  #SUP: 0.48
732 (1.0)  #SUP: 1.0
310 (0.57)  #SUP: 0.57
675 (0.6)  #SUP: 0.6
72 (0.07)  #SUP: 1161.33
708 (0.92)  #SUP: 0.92
717 (0.77)  #SUP: 0.77
210 (0.66)  #SUP: 0.66
569 (0.83)  #SUP: 0.83
388 (0.55)  #SUP: 0.55
170 (0.78)  #SUP: 0.78
317 (0.33)  #SUP: 0.33
25 (0.32)  #SUP: 870.6199999999983
849 (0.4)  #SUP: 0.4
453 (0.35)  #SUP: 0.35
975 (0.64)  #SUP: 0.64
797 (0.27)  #SUP: 0.27
595 (0.39)  #SUP: 0.39
376 (0.83)  #SUP: 0.83
315 (0.26)  #SUP: 0.26
247 (0.4)  #SUP: 0.4
428 (0.54)  #SUP: 0.54
23 (0.0)  #SUP: 162.77000000000004
522 (0.76)  #SUP: 0.76
626 (0.42)  #SUP: 0.42
707 (0.48)  #SUP: 0.48
576 (0.46)  #SUP: 0.46
53 (0.36)  #SUP: 581.2900000000002
81 (0.06)  #SUP: 45.60000000000001
242 (0.61)  #SUP: 0.61
667 (0.83)  #SUP: 0.83
500 (0.2)  #SUP: 0.2
718 (0.53)  #SUP: 0.53
117 (0.62)  #SUP: 348.92
134 (0.65)  #SUP: 0.65
294 (0.83)  #SUP: 0.83
348 (0.87)  #SUP: 0.87
938 (0.89)  #SUP: 0.89
556 (0.14)  #SUP: 0.14
767 (0.52)  #SUP: 0.52
205 (0.1)  #SUP: 0.1
505 (0.71)  #SUP: 0.71
326 (0.53)  #SUP: 0.53
882 (0.43)  #SUP: 0.43
901 (0.58)  #SUP: 0.58
212 (0.3)  #SUP: 0.3
357 (0.31)  #SUP: 0.31
160 (0.42)  #SUP: 0.42
270 (0.31)  #SUP: 0.31
829 (0.11)  #SUP: 0.11
264 (0.47)  #SUP: 0.47
737 (0
